Title:,"Time Series, Area-Averaged of Ozone Total Column (DOAS) daily 0.25 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"29,-28,32,-25"
Data Bounding Box:,"29.125,-27.875,31.875,-25.125"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=29,-28,32,-25&data=OMDOAO3e_003_ColumnAmountO3%2COMUVBd_003_UVindex&variableFacets=dataFieldMeasurement%3AUV%20Exposure%3B&portal=GIOVANNI&format=json"
Fill Value (mean_OMDOAO3e_003_ColumnAmountO3):, -1.267651e+30

time, mean_OMDOAO3e_003_ColumnAmountO3
2019-04-05,266.412415
2019-04-06,260.203522
2019-04-07,261.98703
2019-04-08,257.622681
2019-04-09,260.721954
2019-04-10,262.416504
2019-04-11,289.932373
2019-04-12,269.649536
2019-04-13,253.430313
2019-04-14,257.268097
2019-04-15,255.005081
2019-04-16,253.986557
2019-04-17,252.742935
2019-04-18,281.683929
2019-04-19,264.021973
2019-04-20,259.700348
2019-04-21,258.107513
2019-04-22,246.367126
2019-04-23,241.85994
2019-04-24,247.10257
2019-04-25,261.802826
2019-04-26,253.405411
2019-04-27,292.053925
2019-04-28,253.945129
2019-04-29,249.347183
2019-04-30,250.207306
2019-05-01,245.418961
2019-05-02,247.151382
2019-05-03,249.581146
2019-05-04,-1.267651e+30
2019-05-05,242.635406
2019-05-06,249.623932
2019-05-07,243.601166
2019-05-08,248.824554
2019-05-09,266.284637
2019-05-10,257.127991
2019-05-11,259.595642
2019-05-12,247.846588
2019-05-13,278.722992
2019-05-14,241.002991
2019-05-15,243.72113
2019-05-16,241.071228
2019-05-17,238.525864
2019-05-18,242.846161
2019-05-19,238.626846
2019-05-20,254.400116
2019-05-21,237.948441
2019-05-22,236.924835
2019-05-23,240.19722
2019-05-24,244.070435
2019-05-25,256.817291
2019-05-26,250.105194
2019-05-27,262.418274
2019-05-28,260.918396
2019-05-29,289.333405
2019-05-30,250.578262
2019-05-31,256.804657
2019-06-01,259.741669
2019-06-02,258.043365
2019-06-03,246.512207
2019-06-04,242.636063
2019-06-05,-1.267651e+30
2019-06-06,240.216232
2019-06-07,242.537689
2019-06-08,243.926529
2019-06-09,245.328415
2019-06-10,243.053024
2019-06-11,243.505508
2019-06-12,243.748764
2019-06-13,241.43483
2019-06-14,283.818085
2019-06-15,239.678528
2019-06-16,234.898911
2019-06-17,237.708771
2019-06-18,234.941437
2019-06-19,236.81633
2019-06-20,239.278152
2019-06-21,252.125519
2019-06-22,232.141525
2019-06-23,239.66629
2019-06-24,236.182022
2019-06-25,233.105179
2019-06-26,236.970978
2019-06-27,233.627502
2019-06-28,239.178741
2019-06-29,225.671494
2019-06-30,266.521057
2019-07-01,236.885635
2019-07-02,237.532394
2019-07-03,238.86171
2019-07-04,239.006546
2019-07-05,240.143921
2019-07-06,255.904404
2019-07-07,-1.267651e+30
2019-07-08,279.401367
2019-07-09,276.557037
2019-07-10,260.019073
2019-07-11,246.411407
2019-07-12,246.001663
2019-07-13,250.823898
2019-07-14,266.498657
2019-07-15,254.958801
2019-07-16,301.073669
2019-07-17,263.188568
2019-07-18,253.520615
2019-07-19,256.77652
2019-07-20,262.986359
2019-07-21,273.512512
2019-07-22,271.118347
2019-07-23,285.330444
2019-07-24,260.571777
2019-07-25,264.930511
2019-07-26,267.036255
2019-07-27,265.557953
2019-07-28,261.665771
2019-07-29,260.654755
2019-07-30,264.534088
2019-07-31,262.597076
2019-08-01,306.222168
2019-08-02,266.995361
2019-08-03,264.260223
2019-08-04,267.366669
2019-08-05,266.726501
2019-08-06,264.292542
2019-08-07,268.796936
2019-08-08,-1.267651e+30
2019-08-09,264.451752
2019-08-10,264.892426
2019-08-11,265.30722
2019-08-12,267.029663
2019-08-13,274.217072
2019-08-14,277.143372
2019-08-15,286.356079
2019-08-16,272.052826
2019-08-17,309.545654
2019-08-18,268.259644
2019-08-19,266.146667
2019-08-20,282.925446
2019-08-21,280.251038
2019-08-22,277.62851
2019-08-23,275.781647
2019-08-24,284.072052
2019-08-25,262.460327
2019-08-26,261.913605
2019-08-27,270.059784
2019-08-28,268.544403
2019-08-29,270.579163
2019-08-30,266.748718
2019-08-31,286.993652
2019-09-01,285.290527
2019-09-02,320.285248
2019-09-03,284.812683
2019-09-04,288.057129
2019-09-05,287.286926
2019-09-06,293.585602
2019-09-07,292.91748
2019-09-08,289.711365
2019-09-09,-1.267651e+30
2019-09-10,277.68692
2019-09-11,261.67099
2019-09-12,273.564087
2019-09-13,271.956848
2019-09-14,299.404572
2019-09-15,284.45163
2019-09-16,295.417664
2019-09-17,279.895569
2019-09-18,342.99118
2019-09-19,281.411804
2019-09-20,285.80191
2019-09-21,287.953125
2019-09-22,279.091522
2019-09-23,286.563904
2019-09-24,281.634644
2019-09-25,325.838654
2019-09-26,281.142761
2019-09-27,279.173309
2019-09-28,287.759583
2019-09-29,288.930389
2019-09-30,290.302765
2019-10-01,298.099731
2019-10-02,306.658813
2019-10-03,291.795898
2019-10-04,357.815369
2019-10-05,283.65741
2019-10-06,287.676941
2019-10-07,290.009735
2019-10-08,296.349884
2019-10-09,288.532562
2019-10-10,289.446045
2019-10-11,-1.267651e+30
2019-10-12,287.708893
2019-10-13,280.645416
2019-10-14,282.304749
2019-10-15,275.764923
2019-10-16,277.809021
2019-10-17,281.551727
2019-10-18,290.163666
2019-10-19,286.870331
2019-10-20,344.603027
2019-10-21,282.721191
2019-10-22,276.441376
2019-10-23,283.116974
2019-10-24,273.24939
2019-10-25,266.033356
2019-10-26,272.744049
2019-10-27,309.200378
2019-10-28,271.195007
2019-10-29,272.370819
2019-10-30,279.81723
2019-10-31,277.87149
2019-11-01,280.932648
2019-11-02,283.470917
2019-11-03,303.117126
2019-11-04,298.581909
2019-11-05,349.12207
2019-11-06,289.02478
