,Unnamed: 0,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0,precalibrated_AOT465,precalibrated_AOT540,precalibrated_AOT619,tau_aerosols_465_calitoo,tau_aerosols_540_calitoo,tau_aerosols_619_calitoo,tau_aerosols_465_expected,tau_aerosols_540_expected,tau_aerosols_619_expected
37,37,2024-06-19,08:04:35,34,843,1921.483478757364,2155.987107616462,1742.7648541202543,01615,4648.80026N,00950.66794E,44.7,0.140668285950916,0.12593341261597693,0.16717323865711764,0.68,0.83,2024-06-19 08:04:35,46.81333766666667,9.844465666666666,0.7906341511534313,1.4216768991924045,171,0.9680020778543847,0.2696,0.2261,0.2228,0.23110924839375982,0.240472418192428,0.22711137445042195,0.20919613278637925,0.19605398044163533,0.20019281590446364
38,38,2024-06-19,08:05:17,34,843,1898.756254815073,2133.2598836741704,1723.1367970791846,01617,4648.80104N,00950.66854E,44.8,0.14964368186567836,0.13383262038744828,0.17558668688668294,0.66,0.82,2024-06-19 08:05:17,46.813350666666665,9.844475666666666,0.788888821901437,1.4191760573924812,171,0.9680020778543847,0.2789,0.2342,0.2314,0.24024401744487425,0.24857346415823414,0.2356304443853567,0.21829228701222794,0.20407675318317461,0.20866445052927268
39,39,2024-06-19,08:05:53,33,843,1919.417367489883,2143.5904400115755,1740.6987428527734,01617,4648.80124N,00950.66877E,44.9,0.14260933455986122,0.1308668870426675,0.16887464100836175,0.67,0.88,2024-06-19 08:05:53,46.813354,9.8444795,0.7871434926494426,1.4166883063990243,171,0.9680020778543847,0.272,0.2314,0.2247,0.23336876729107467,0.2458092194872791,0.22902383730870668,0.21137848890194053,0.20123437083265114,0.20201049028559076
40,40,2024-06-19,08:36:37,34,843,2029.9543203001183,2273.755449862881,1829.541527354458,01610,4648.79955N,00950.66891E,49.9,0.12801456991044838,0.10669116092230814,0.15146769145141564,0.81,0.82,2024-06-19 08:36:37,46.81332583333333,9.844481833333331,0.6998770300497261,1.307323862032507,171,0.9680020778543847,0.2656,0.2142,0.2112,0.22636650150130758,0.23124901763529257,0.21664868103843143,0.20253662188761254,0.18294525092339306,0.1873755269594955
41,41,2024-06-19,08:36:53,34,843,2036.1526541025617,2243.796836484406,1825.409304819496,01611,4648.79993N,00950.66854E,50.0,0.12615316342067387,0.1171831199604004,0.15353705285187655,0.75,0.94,2024-06-19 08:36:53,46.81333216666667,9.844475666666666,0.6981317007977318,1.3054072893322786,171,0.9680020778543847,0.2636,0.2246,0.2131,0.22464949333735992,0.24192385001086805,0.21881373985550495,0.20078462717418674,0.1935491646811894,0.18949760752111128
42,42,2024-06-19,08:37:11,34,843,2042.3509879050048,2273.755449862881,1851.2356956630088,01612,4648.79997N,00950.66817E,50.0,0.12382475906539273,0.10702276573147619,0.14277480161428358,0.9,0.92,2024-06-19 08:37:11,46.81333283333333,9.8444695,0.6981317007977318,1.3054072893322786,171,0.9680020778543847,0.2615,0.2146,0.2025,0.22232108898207878,0.2317634957819438,0.20805148861791195,0.1984562228189056,0.18338881045226516,0.17873535628351828
43,43,2024-06-19,09:29:36,36,843,2229.3340576120386,2486.564910413428,1993.7973731192003,01621,4648.80158N,00950.66759E,57.9,0.08334930987629338,0.05517135854642582,0.10331762389920168,1.14,0.83,2024-06-19 09:29:36,46.81335966666666,9.844459833333334,0.5602506898901798,1.1804676219078736,171,0.9680020778543847,0.2318,0.172,0.168,0.19227040577040297,0.1931145390813839,0.1755031387380393,0.16587970290809542,0.1396199190879471,0.1430842124294159
44,44,2024-06-19,09:29:54,36,843,2267.5571160604377,2473.135187174801,1986.5659836830168,0000M,4648.80119N,00950.66858E,57.9,0.06894808499244923,0.05975899107835508,0.10639567215966908,0.85,0.87,2024-06-19 09:29:54,46.813353166666666,9.844476333333333,0.5602506898901798,1.1804676219078736,171,0.9680020778543847,0.2176,0.1767,0.1712,0.17786918088655876,0.19770217161331313,0.17858118699850667,0.1514784780242512,0.14420755161987633,0.1461622606898833
45,45,2024-06-19,09:30:21,36,843,2246.8960033856274,2483.4657435122062,1994.8304287529409,01620,4648.80092N,00950.66891E,58.0,0.07699906337185233,0.0564196058315787,0.10307680219701337,1.05,0.85,2024-06-19 09:30:21,46.81334866666667,9.844481833333331,0.5585053606381855,1.1791784033620965,171,0.9680020778543847,0.2256,0.1734,0.1678,0.18603924480590453,0.19451360231270917,0.17534123885480674,0.15961968847793886,0.14096049561700733,0.1428868683072861
46,46,2024-06-19,10:03:17,38,843,2420.4493498540346,2568.1763054789285,2076.4418238184417,01611,4648.80274N,00950.66947E,62.1,0.0226954783033938,0.03417261161889908,0.07527601912302717,0.75,0.99,2024-06-19 10:03:17,46.813379,9.844491166666666,0.4869468613064179,1.131521713397749,171,0.9680020778543847,0.1761,0.1553,0.1423,0.1363281426378887,0.17808276054175085,0.1505840419643391,0.10879586475097328,0.12227413919510957,0.11676277950757985
