,Unnamed: 0,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0,precalibrated_AOT465,precalibrated_AOT540,precalibrated_AOT619,tau_aerosols_465_calitoo,tau_aerosols_540_calitoo,tau_aerosols_619_calitoo,tau_aerosols_465_expected,tau_aerosols_540_expected,tau_aerosols_619_expected
114,115,2024-07-11,09:15:25,27,846,2457.901350099564,2788.514394249148,2158.2832788390037,01608,4648.79448N,00950.67437E,54.2,0.05072851424507274,0.053437300259925845,0.048030919885722556,0.96,0.98,2024-07-11 09:15:25,46.81324133333333,9.844572833333334,0.62482787221397,1.2329485998353475,193,0.9678988946825032,0.6928,0.621,0.5253,0.09915638375084992,0.08460937510666112,0.07467824801841746,0.08945399507951682,0.07688056946796147,0.06276445625378085
115,116,2024-07-11,09:15:47,27,846,2443.4370294180194,2769.917410515734,2155.183781550101,0000M,4648.79402N,00950.66969E,54.3,0.05583041707075706,0.05908834678579152,0.049356702305182465,0.98,0.97,2024-07-11 09:15:47,46.81323366666667,9.844494833333334,0.6230825429619757,1.2314004248152048,193,0.9678988946825032,0.6982,0.6269,0.5269,0.10431917239103997,0.09029961264353444,0.07603753272270464,0.09460458541647912,0.08256108998380389,0.06410876237398322
116,117,2024-07-11,09:16:06,27,846,2445.5033609439542,2782.315399671343,2156.2169473130684,01602,4648.79409N,00950.66584E,54.3,0.055143955891342106,0.05546161864306753,0.048967493801737844,0.98,0.98,2024-07-11 09:16:06,46.81323483333333,9.844430666666666,0.6230825429619757,1.2314004248152048,193,0.9678988946825032,0.698,0.6237,0.5268,0.10363271121162501,0.08667288450081044,0.07564832421926002,0.09391812423706411,0.0789343618410799,0.06371955387053857
117,118,2024-07-11,09:30:17,27,846,2449.6360239958244,2785.4148969602456,2140.719460868557,01618,4648.79072N,00950.68252E,56.3,0.059857461260559824,0.05880833981122912,0.058080494328823756,0.94,0.99,2024-07-11 09:30:17,46.813178666666666,9.844708666666667,0.5881759579220891,1.2019893566236353,193,0.9678988946825032,0.7175,0.6404,0.5472,0.10953267142038894,0.09078330350325721,0.08541416889882802,0.09958038152575874,0.0828554295681654,0.07319351753116535
118,119,2024-07-11,09:30:29,27,846,2448.6028582328568,2792.647057301018,2140.719460868557,01619,4648.79001N,00950.68273E,56.3,0.060208422717833804,0.05665102100473501,0.058080494328823756,0.95,0.99,2024-07-11 09:30:29,46.81316683333333,9.844712166666667,0.5881759579220891,1.2019893566236353,193,0.9678988946825032,0.7181,0.6385,0.5474,0.10988363287766292,0.0886259846967631,0.08541416889882802,0.09993134298303272,0.08069811076167129,0.07319351753116535
119,120,2024-07-11,09:30:42,27,846,2442.403863655052,2778.1827366194734,2142.785792394492,01619,4648.79007N,00950.68280E,56.4,0.06261631272063081,0.06118067539379756,0.05743533716641927,0.96,0.98,2024-07-11 09:30:42,46.81316783333333,9.844713333333331,0.5864306286700948,1.200593706972173,193,0.9678988946825032,0.7205,0.643,0.5468,0.11234926863520053,0.09319280890162022,0.08480078621030698,0.10238540953956413,0.0852557190807295,0.07256592874800724
120,121,2024-07-11,10:09:10,27,846,2449.6360239958244,2789.547560012116,2142.785792394492,01638,4648.79012N,00950.68721E,61.0,0.07292233567001985,0.06663901242392496,0.06422613833905158,0.97,0.99,2024-07-11 10:09:10,46.81316866666667,9.844786833333334,0.5061454830783556,1.14335406787332,193,0.9678988946825032,0.7628,0.6773,0.5781,0.12514506839813958,0.10025376669486812,0.09296158157027246,0.11468238945772244,0.0919193230099307,0.0801142114618503
121,122,2024-07-11,10:09:27,27,846,2448.6028582328568,2779.215902382441,2142.785792394492,01628,4648.79211N,00950.68534E,61.0,0.07329129568694018,0.0698843582890407,0.06422613833905158,0.97,0.98,2024-07-11 10:09:27,46.81320183333333,9.844755666666666,0.5061454830783556,1.14335406787332,193,0.9678988946825032,0.7634,0.6808,0.5782,0.1255140284150599,0.10349911255998388,0.09296158157027246,0.11505134947464277,0.09516466887504647,0.0801142114618503
122,123,2024-07-11,10:09:43,27,846,2458.9345158625315,2801.945549167725,2141.752626631524,01610,4648.79271N,00950.68480E,61.1,0.06986417735359754,0.0629361581688933,0.0647859372650971,0.95,0.99,2024-07-11 10:09:43,46.81321183333333,9.844746666666667,0.5044001538263612,1.1422507356485725,193,0.9678988946825032,0.76,0.6738,0.5788,0.1221373534932075,0.0965833818797384,0.0935491368719717,0.11166456835590041,0.0882408877204122,0.08068935712615427
123,124,2024-07-11,10:09:58,27,846,2447.5696924698896,2775.083239330571,2141.752626631524,01610,4648.79287N,00950.68455E,61.1,0.07391982149735463,0.07136974606379036,0.0647859372650971,0.97,0.98,2024-07-11 10:09:58,46.8132145,9.8447425,0.5044001538263612,1.1422507356485725,193,0.9678988946825032,0.7643,0.6825,0.579,0.1261929976369646,0.10501696977463547,0.0935491368719717,0.1157202124996575,0.09667447561530927,0.08068935712615427
