,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0
56,2024-06-19,14:29:37,25,844,2042.3509879050048,2295.4496181714317,1753.0954104576597,01621,4648.80056N,00950.67042E,45.4,0.7212,0.672,0.6015,0.63,0.98,2024-06-19 14:29:37,46.813342666666664,9.844507,0.778416846389471,1.404443005463658,171,0.9680020778543847
57,2024-06-19,14:47:15,24,844,1933.8801463622503,2189.0448878961583,1655.988180886051,01623,4648.80096N,00950.67175E,42.5,0.7121,0.6639,0.6052,0.57,0.99,2024-06-19 14:47:15,46.813349333333335,9.844529166666666,0.8290313946973066,1.4801872329222612,171,0.9680020778543847
58,2024-06-19,14:57:48,25,844,1657.0212365197915,1877.0620865065218,1422.5176076606938,01618,4648.80054N,00950.66951E,40.7,0.7827,0.7378,0.6811,0.48,0.99,2024-06-19 14:57:48,46.81334233333333,9.844491833333333,0.8604473212332044,1.5335108844402192,171,0.9680020778543847
59,2024-07-05,07:02:44,24,843,2423.83327983249,2801.1037050516197,2148.8909973440286,01608,4648.79399N,00950.67766E,33.2,0.4232,0.3842,0.3353,0.81,0.98,2024-07-05 07:02:44,46.81323316666667,9.844627666666666,0.9913470151327791,1.8262731262732534,187,0.9674757828896804
60,2024-07-05,07:03:13,24,843,2422.79966222915,2788.7002938115384,2129.252262880567,01598,4648.79282N,00950.67687E,33.3,0.4248,0.3877,0.3412,0.76,0.99,2024-07-05 07:03:13,46.81321366666667,9.8446145,0.9896016858807849,1.8214179214740815,187,0.9674757828896804
61,2024-07-05,07:03:26,24,843,2429.0013678491905,2789.7339114148785,2133.386733293927,01598,4648.79247N,00950.67610E,33.3,0.424,0.388,0.3405,0.76,0.98,2024-07-05 07:03:26,46.81320783333334,9.844601666666666,0.9896016858807849,1.8214179214740815,187,0.9674757828896804
62,2024-07-05,07:44:43,26,843,2580.9431555401825,2911.700788609008,2229.513170404555,01604,4648.79501N,00950.66681E,40.4,0.4895,0.4478,0.385,0.84,0.97,2024-07-05 07:44:43,46.81325016666667,9.844446833333333,0.8656833089891874,1.5429243853794172,187,0.9674757828896804
63,2024-07-05,07:44:53,26,843,2571.6405971101217,2901.364612575607,2224.3450823878543,01605,4648.79429N,00950.66894E,40.4,0.4922,0.4504,0.3868,0.84,0.97,2024-07-05 07:44:53,46.813238166666665,9.844482333333334,0.8656833089891874,1.5429243853794172,187,0.9674757828896804
64,2024-07-05,07:45:02,26,843,2583.0103907468624,2917.902494229049,2222.2778471811744,01604,4648.79378N,00950.67047E,40.4,0.4897,0.447,0.3876,0.81,0.98,2024-07-05 07:45:02,46.813229666666665,9.844507833333333,0.8656833089891874,1.5429243853794172,187,0.9674757828896804
65,2024-07-05,08:05:26,27,843,2564.405273886741,2880.6922605088057,2176.7986726342106,01601,4648.78948N,00950.68985E,43.9,0.5392,0.4934,0.433,0.76,0.98,2024-07-05 08:05:26,46.813158,9.844830833333333,0.8045967851693859,1.4421652196772579,187,0.9674757828896804
66,2024-07-05,08:05:35,27,843,2550.9682450433197,2849.683732408603,2176.7986726342106,01601,4648.78975N,00950.68917E,43.9,0.5432,0.5011,0.4333,0.79,0.96,2024-07-05 08:05:35,46.8131625,9.8448195,0.8045967851693859,1.4421652196772579,187,0.9674757828896804
67,2024-07-05,08:38:23,27,843,2691.540239097571,3002.6591377029354,2270.857874538158,01616,4648.79106N,00950.68536E,49.2,0.5679,0.5173,0.4476,0.83,0.98,2024-07-05 08:38:23,46.81318433333333,9.844756,0.7120943348136864,1.3210125912104163,187,0.9674757828896804
68,2024-07-05,08:38:53,27,843,2692.573856700911,2997.491049686235,2281.194050571559,01615,4648.79637N,00950.67178E,49.3,0.5685,0.5194,0.4448,0.85,0.97,2024-07-05 08:38:53,46.813272833333336,9.844529666666666,0.7103490055616922,1.3190274496936798,187,0.9674757828896804
69,2024-07-05,09:06:46,28,843,2721.5151495944333,3022.2978721663967,2274.992344951518,01613,4648.79215N,00950.68017E,53.6,0.6049,0.5511,0.4786,0.82,0.98,2024-07-05 09:06:46,46.8132025,9.8446695,0.635299847725936,1.2423999331154147,187,0.9674757828896804
70,2024-07-05,09:06:57,28,843,2737.0194136445343,3032.6340481997977,2299.7991674316804,01606,4648.79372N,00950.67534E,53.6,0.6006,0.5485,0.4701,0.85,0.97,2024-07-05 09:06:57,46.81322866666667,9.844589,0.635299847725936,1.2423999331154147,187,0.9674757828896804
71,2024-07-05,09:07:10,28,843,2733.918560834514,3029.5331953897776,2300.83278503502,0000M,4648.79613N,00950.66625E,53.7,0.6019,0.5496,0.4699,0.86,0.97,2024-07-05 09:07:10,46.81326883333333,9.8444375,0.6335545184739416,1.240805195730357,187,0.9674757828896804
72,2024-07-05,09:07:26,28,843,2726.683237611134,3010.928078529656,2296.69831462166,01606,4648.79470N,00950.67638E,53.7,0.6044,0.5549,0.4717,0.86,0.96,2024-07-05 09:07:26,46.813245,9.844606333333333,0.6335545184739416,1.240805195730357,187,0.9674757828896804
73,2024-07-05,09:28:21,26,843,2775.2632649681177,3072.945134730061,2306.0008730517206,01604,4648.79531N,00950.66870E,56.7,0.6181,0.5622,0.4883,0.82,0.98,2024-07-05 09:28:21,46.813255166666664,9.844478333333333,0.5811946409141117,1.1964479450898062,187,0.9674757828896804
74,2024-07-05,09:28:40,26,843,2758.725383314676,3047.104694646559,2303.9336378450407,01610,4648.79603N,00950.67196E,56.8,0.6235,0.5696,0.4893,0.84,0.97,2024-07-05 09:28:40,46.81326716666667,9.844532666666666,0.5794493116621174,1.195079646580846,187,0.9674757828896804
75,2024-07-05,09:28:54,26,842,2777.3305001747976,3076.045987540081,2311.168961068421,01603,4648.79755N,00950.66545E,56.8,0.6183,0.5621,0.487,0.83,0.98,2024-07-05 09:28:54,46.8132925,9.844424166666666,0.5794493116621174,1.195079646580846,187,0.9674757828896804
76,2024-07-05,09:29:16,26,843,2755.624530504656,3045.0374594398786,2301.8664026383603,01607,4648.79594N,00950.66556E,56.8,0.6251,0.5708,0.4906,0.84,0.97,2024-07-05 09:29:16,46.813265666666666,9.844426,0.5794493116621174,1.195079646580846,187,0.9674757828896804
77,2024-07-09,07:35:58,23,846,2382.9195878933074,2755.961205945989,2126.647229785094,01604,4648.79232N,00950.67611E,38.5,0.513,0.4601,0.3964,0.9,0.99,2024-07-09 07:35:58,46.813205333333336,9.844601833333334,0.8988445647770797,1.6063879323404948,191,0.9677204433233475
78,2024-07-09,07:36:20,23,846,2389.119725589474,2749.7610682498225,2132.8473674812603,0000M,4648.79126N,00950.67905E,38.6,0.5123,0.4623,0.3953,0.9,0.98,2024-07-09 07:36:20,46.813187666666664,9.844650833333333,0.8970992355250854,1.602873383381084,191,0.9677204433233475
79,2024-07-09,08:03:12,23,846,2448.0210337030553,2794.1953884056825,2147.314355438982,01607,4648.78925N,00950.69041E,43.1,0.5604,0.5054,0.435,0.88,0.98,2024-07-09 08:03:12,46.81315416666666,9.844840166666666,0.8185594191853406,1.4635421971679012,191,0.9677204433233475
80,2024-07-09,08:03:21,23,846,2443.8876085722777,2790.0619632749044,2145.247642873593,01606,4648.79059N,00950.68574E,43.1,0.5619,0.5067,0.4359,0.88,0.98,2024-07-09 08:03:21,46.8131765,9.844762333333334,0.8185594191853406,1.4635421971679012,191,0.9677204433233475
81,2024-07-09,08:03:32,23,846,2444.9209648549718,2776.628331599877,2171.0815499409537,01607,4648.79164N,00950.68250E,43.1,0.562,0.5103,0.428,0.95,0.96,2024-07-09 08:03:32,46.813194,9.844708333333333,0.8185594191853406,1.4635421971679012,191,0.9677204433233475
82,2024-07-09,10:10:14,31,846,2616.458107782244,2935.765199134816,2225.8494329237574,01603,4648.79307N,00950.67032E,61.4,0.7083,0.6352,0.547,0.9,0.99,2024-07-09 10:10:14,46.81321783333333,9.844505333333334,0.4991641660703783,1.1389742489170034,191,0.9677204433233475
83,2024-07-09,10:10:22,31,846,2609.224613803383,2919.231498611706,2235.149639468007,01605,4648.79300N,00950.67368E,61.4,0.7108,0.6403,0.5434,0.94,0.98,2024-07-09 10:10:22,46.81321666666667,9.844561333333333,0.4991641660703783,1.1389742489170034,191,0.9677204433233475
84,2024-07-09,10:10:31,31,846,2601.9911198245222,2914.0647171982337,2226.8827892064514,01606,4648.79301N,00950.67686E,61.4,0.7134,0.6419,0.5467,0.93,0.98,2024-07-09 10:10:31,46.813216833333335,9.844614333333332,0.4991641660703783,1.1389742489170034,191,0.9677204433233475
85,2024-07-10,07:14:43,23,847,2127.4946727231836,2519.102482806761,1983.8707001595494,01608,4648.79326N,00950.67591E,34.8,0.5207,0.4641,0.397,0.95,0.99,2024-07-10 07:14:43,46.813221,9.8445985,0.9634217471008699,1.7521924422741888,192,0.967805008585281
86,2024-07-10,07:14:55,24,847,2122.328342774851,2520.1357487964274,1977.6711042215506,01606,4648.79342N,00950.67435E,34.8,0.5227,0.4643,0.3992,0.94,0.99,2024-07-10 07:14:55,46.813223666666666,9.8445725,0.9634217471008699,1.7521924422741888,192,0.967805008585281
